List of populated endpoints for TuneFind API trial

type,api_path
show,/api/v2/show/work-in-progress
show,/api/v2/show/world-on-fire
show,/api/v2/show/wtfock
show,/api/v2/show/you
show,/api/v2/show/young-sheldon
movie,/api/v2/movie/16-bars-2019
movie,/api/v2/movie/1917-2019
movie,/api/v2/movie/21-bridges-2019
movie,/api/v2/movie/6-underground-2019
movie,/api/v2/movie/a-beautiful-day-in-the-neighborhood-2019
movie,/api/v2/movie/a-blue-ridge-mountain-christmas-2019
movie,/api/v2/movie/a-christmas-love-story-2019
movie,/api/v2/movie/a-christmas-prince-the-royal-baby-2019
movie,/api/v2/movie/a-cinderella-story-christmas-wish-2019
movie,/api/v2/movie/a-family-christmas-gift-2019
movie,/api/v2/movie/a-godwink-christmas-meant-for-love-2019
movie,/api/v2/movie/a-hidden-life-2019
movie,/api/v2/movie/a-homecoming-for-the-holidays-2019
movie,/api/v2/movie/a-sweet-christmas-2019
movie,/api/v2/movie/adios-2019
movie,/api/v2/movie/adopt-a-highway-2019
movie,/api/v2/movie/age-out-2019
movie,/api/v2/movie/american-son-2019
movie,/api/v2/movie/angel-falls-a-novel-holiday-2019
movie,/api/v2/movie/apparition-2019
movie,/api/v2/movie/arctic-dogs-2019
movie,/api/v2/movie/atlantics-2019
movie,/api/v2/movie/badland-2019
movie,/api/v2/movie/black-christmas-2019
movie,/api/v2/movie/blue-story-2019
movie,/api/v2/movie/bombshell-2019
movie,/api/v2/movie/burden-2019
movie,/api/v2/movie/cats-2019
movie,/api/v2/movie/charlies-angels-2019
movie,/api/v2/movie/christmas-at-the-plaza-2019
movie,/api/v2/movie/christmas-in-evergreen-tidings-of-joy-2019
movie,/api/v2/movie/christmas-jars-2019
movie,/api/v2/movie/christmas-town-2019
movie,/api/v2/movie/christmas-unleashed-2019
movie,/api/v2/movie/clemency-2019
movie,/api/v2/movie/code-8-2019
movie,/api/v2/movie/cosmos-2019
movie,/api/v2/movie/crown-vic-2019
movie,/api/v2/movie/danger-close-the-battle-of-long-tan-2019
movie,/api/v2/movie/daniel-isnt-real-2019
movie,/api/v2/movie/dark-waters-2019
movie,/api/v2/movie/death-stranding-2019
movie,/api/v2/movie/doctor-sleep-2019
movie,/api/v2/movie/dolly-parton-here-i-am-2019
movie,/api/v2/movie/earthquake-bird-2019
movie,/api/v2/movie/everybodys-everything-2019
movie,/api/v2/movie/exit-plan-2019
